BBG ISIN;NAME;INDUSTRY_SECTOR;INDUSTRY_SUBGROUP;MKT_CAP_LAST_TRD;CUR_MKT_CAP; has_large_mkt_cap ; has_large_mkt_cap ; has_large_mkt_cap ;AMT_ISSUED;SECURITY_TYP;CNTRY_OF_DOMICILE;CRNCY;LAST_UPDATE_DT;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_MDY_ISSUER
BMG423131256 ISIN;HAIER ELECTRONICS GROUP CO;Consumer, Cyclical;Appliances;5139.34;5139342213.12; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;#N/A N/A;#N/A N/A
BMG524401079 ISIN;KERRY PROPERTIES LTD;Financial;Real Estate Oper/Develop;3564.57;3564574888.16; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;13.07.2016;NR;#N/A N/A
BMG5485F1692 ISIN;LI & FUNG LTD;Consumer, Cyclical;Distribution/Wholesale;4123.57;4123569179.94; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;29.07.2016;BBB+;Baa1
BMG5800U1071 ISIN;MAN WAH HOLDINGS LTD;Consumer, Cyclical;Retail-Home Furnishings;2851.22;2851219408.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;#N/A N/A;#N/A N/A
BMG653181005 ISIN;NINE DRAGONS PAPER HOLDINGS;Basic Materials;Paper&Related Products;3858.96;3858964610.70; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;25.07.2016;NR;#N/A N/A
BMG667211046 ISIN;NORWEGIAN CRUISE LINE HOLDIN;Consumer, Cyclical;Cruise Lines;9784.00;9783995881.50; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;NR;#N/A N/A
BMG668971101 ISIN;NWS HOLDINGS LTD;Diversified;Diversified Operations;5709.63;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;NR;#N/A N/A
BMG677491539 ISIN;ORIENT OVERSEAS INTL LTD;Industrial;Transport-Marine;2190.28;2190276539.50; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;28.07.2016;#N/A N/A;#N/A N/A
BMG6955J1036 ISIN;PAX GLOBAL TECHNOLOGY LTD;Technology;Computers-Integrated Sys;782.51;782511800.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;#N/A N/A;#N/A N/A
BMG8065B1037 ISIN;SHANGHAI INDUSTRIAL URBAN DE;Financial;Real Estate Oper/Develop;817.96;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;NR;#N/A N/A
BMG8165U1009 ISIN;SINOPEC KANTONS HOLDINGS;Energy;Oil-Field Services; #N/A N/A ; #N/A N/A ;;;;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
BMG8181C1001 ISIN;SKYWORTH DIGITAL HLDGS LTD;Consumer, Cyclical;Audio/Video Products;2356.77;2356773910.40; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;#N/A N/A;#N/A N/A
BMG8565U1302 ISIN;SUMMIT ASCENT HOLDINGS LTD;Industrial;Bldg&Construct Prod-Misc;297.10;297099167.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;28.06.2016;#N/A N/A;#N/A N/A
BMG8770Z1068 ISIN;TEXWINCA HOLDINGS LTD;Consumer, Cyclical;Textile-Products;967.19;967187272.80; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;HK;USD;26.07.2016;#N/A N/A;#N/A N/A
CA0679011084 ISIN;BARRICK GOLD CORP;Basic Materials;Gold Mining;24749.17;24749171039.16; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;BBB-;#N/A N/A
CA0679011084 ISIN;BARRICK GOLD CORP;Basic Materials;Gold Mining;24749.17;24749171039.16; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;BBB-;#N/A N/A
CA09228F1036 ISIN;BLACKBERRY LTD;Technology;Computers;4050.57;4050569724.50; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;#N/A N/A;#N/A N/A
CA1249003098 ISIN;CCL INDUSTRIES INC - CL B;Industrial;Containers-Metal/Glass;6489.54;6490284157.22; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;#N/A N/A;#N/A N/A
CA1254911003 ISIN;CI FINANCIAL CORP;Financial;Invest Mgmnt/Advis Serv;5340.79;5340788973.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;A-;#N/A N/A
CA13645T1003 ISIN;CANADIAN PACIFIC RAILWAY LTD;Industrial;Transport-Rail;21250.56;21250557101.28; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;BBB+;#N/A N/A
CA13645T1003 ISIN;CANADIAN PACIFIC RAILWAY LTD;Industrial;Transport-Rail;21250.56;21250557101.28; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;BBB+;#N/A N/A
CA2506691088 ISIN;DETOUR GOLD CORP;Basic Materials;Gold Mining;4435.37;4435374392.24; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;#N/A N/A;#N/A N/A
CA2861812014 ISIN;ELEMENT FINANCIAL CORP;Financial;Finance-Leasing Compan;4057.58;4057584454.46; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;#N/A N/A;#N/A N/A
CA2861812014 ISIN;ELEMENT FINANCIAL CORP;Financial;Finance-Leasing Compan;4057.58;4057584454.46; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;#N/A N/A;#N/A N/A
CA3039011026 ISIN;FAIRFAX FINANCIAL HLDGS LTD;Financial;Property/Casualty Ins;13553.68;13554710122.52; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;BBB-;#N/A N/A
CA39945C1095 ISIN;CGI GROUP INC - CLASS A;Technology;Computers-Integrated Sys;14949.32;14950459349.19; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;#N/A N/A;#N/A N/A
CA4509131088 ISIN;IAMGOLD CORP;Basic Materials;Gold Mining;2249.16;2249164102.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;B;#N/A N/A
CA45245E1097 ISIN;IMAX CORP;Industrial;Industr Audio&Video Prod;2169.08;2169084112.32; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;NR;WR
CA53278L1076 ISIN;LINAMAR CORP;Consumer, Cyclical;Auto/Trk Prts&Equip-Orig;2600.05;2600052722.24; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;29.07.2016;#N/A N/A;#N/A N/A
CA53278L1076 ISIN;LINAMAR CORP;Consumer, Cyclical;Auto/Trk Prts&Equip-Orig;2600.05;2600052722.24; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;29.07.2016;#N/A N/A;#N/A N/A
CA5592224011 ISIN;MAGNA INTERNATIONAL INC;Consumer, Cyclical;Auto/Trk Prts&Equip-Orig;15555.19;15555194106.32; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;A-;Baa1
CA5592224011 ISIN;MAGNA INTERNATIONAL INC;Consumer, Cyclical;Auto/Trk Prts&Equip-Orig;15555.19;15555194106.32; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;A-;Baa1
CA5753851099 ISIN;MASONITE INTERNATIONAL CORP;Industrial;Bldg Prod-Doors&Windows;2189.72;2189716674.78; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BB;#N/A N/A
CA8849031056 ISIN;THOMSON REUTERS CORP;Communications;Multimedia;30983.78;30983779656.04; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BBB+;#N/A N/A
CA8849031056 ISIN;THOMSON REUTERS CORP;Communications;Multimedia;30983.78;30983779656.04; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;BBB+;#N/A N/A
CA9004351081 ISIN;TURQUOISE HILL RESOURCES LTD;Basic Materials;Metal-Copper;6318.67;6318667432.66; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;#N/A N/A;#N/A N/A
CA91911K1021 ISIN;VALEANT PHARMACEUTICALS INTE;Consumer, Non-cyclical;Medical-Drugs;7492.55;7492554074.52; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;05.08.2016;B;WR
CH0000587979 ISIN;SIKA AG-BR;Industrial;Bldg&Construct Prod-Misc;11700.38;11702345534.25; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;13.07.2016;A-;#N/A N/A
CH0000587979 ISIN;SIKA AG-BR;Industrial;Bldg&Construct Prod-Misc;11700.38;11702345534.25; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;13.07.2016;A-;#N/A N/A
CH0000816824 ISIN;OC OERLIKON CORP AG-REG;Industrial;Machinery-General Indust;4058.87;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0000816824 ISIN;OC OERLIKON CORP AG-REG;Industrial;Machinery-General Indust;4058.87;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0002168083 ISIN;PANALPINA WELTTRANSPORT -REG;Industrial;Transport-Services;3187.25;3187250000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;02.08.2016;#N/A N/A;#N/A N/A
CH0002361068 ISIN;STARRAG GROUP HOLDING AG;Industrial;Mach Tools&Rel Products;154.80;154795200.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;15.07.2016;#N/A N/A;#N/A N/A
CH0005795668 ISIN;SCHMOLZ+BICKENBACH AG-REG;Basic Materials;Steel-Producers; #N/A N/A ; #N/A N/A ;;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;B+;#N/A N/A
CH0005795668 ISIN;SCHMOLZ+BICKENBACH AG-REG;Basic Materials;Steel-Producers; #N/A N/A ; #N/A N/A ;;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;B+;#N/A N/A
CH0008742519 ISIN;SWISSCOM AG-REG;Communications;Telephone-Integrated;25117.73;25117726121.84; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;27.07.2016;A;A2
CH0008742519 ISIN;SWISSCOM AG-REG;Communications;Telephone-Integrated;25117.73;25117726121.84; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;27.07.2016;A;A2
CH0010532478 ISIN;ACTELION LTD-REG;Consumer, Non-cyclical;Medical-Drugs;18265.56;18265561876.50; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;03.08.2016;#N/A N/A;#N/A N/A
CH0010570759 ISIN;CHOCOLADEFABRIKEN LINDT-REG;Consumer, Non-cyclical;Food-Confectionery;15447.73;15450328468.39; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0010570759 ISIN;CHOCOLADEFABRIKEN LINDT-REG;Consumer, Non-cyclical;Food-Confectionery;15447.73;15450328468.39; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0010570767 ISIN;CHOCOLADEFABRIKEN LINDT-PC;Consumer, Non-cyclical;Food-Confectionery;15447.73;15450328468.39; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;01.08.2016;#N/A N/A;#N/A N/A
CH0010645932 ISIN;GIVAUDAN-REG;Basic Materials;Chemicals-Specialty;18961.54;18961538194.44; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;#N/A N/A;#N/A N/A
CH0011037469 ISIN;SYNGENTA AG-REG;Basic Materials;Agricultural Chemicals;36188.80;36188798444.10; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A+     *-;A2 *-
CH0011075394 ISIN;ZURICH INSURANCE GROUP AG;Financial;Multi-line Insurance;36198.13;36198129212.03; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;#N/A N/A;#N/A N/A
CH0011075394 ISIN;ZURICH INSURANCE GROUP AG;Financial;Multi-line Insurance;36198.13;36198129212.03; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;#N/A N/A;#N/A N/A
CH0012032048 ISIN;ROCHE HOLDING AG-GENUSSCHEIN;Consumer, Non-cyclical;Medical-Drugs;219221.21;219114908410.67; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;AA;A1
CH0012032113 ISIN;ROCHE HOLDING AG-BR;Consumer, Non-cyclical;Medical-Drugs;219221.21;219114908410.67; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;03.08.2016;AA;A1
CH0012138605 ISIN;ADECCO GROUP AG-REG;Consumer, Non-cyclical;Human Resources;9084.97;9084970405.96; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;19.07.2016;BBB+;Baa1
CH0012214059 ISIN;LAFARGEHOLCIM LTD-REG;Industrial;Bldg Prod-Cement/Aggreg;28606.66;28606659485.80; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;BBB;Baa2
CH0012221716 ISIN;ABB LTD-REG;Industrial;Machinery-Electric Util;47212.79;47212789530.32; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;29.07.2016;A;A2
CH0012255144 ISIN;SWATCH GROUP AG/THE-REG;Consumer, Cyclical;Retail-Jewelry;14196.62;14192722332.94; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;28.07.2016;#N/A N/A;#N/A N/A
CH0012255144 ISIN;SWATCH GROUP AG/THE-REG;Consumer, Cyclical;Retail-Jewelry;14196.62;14192722332.94; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;28.07.2016;#N/A N/A;#N/A N/A
CH0012255151 ISIN;SWATCH GROUP AG/THE-BR;Consumer, Cyclical;Retail-Jewelry;14196.62;14192722332.94; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;#N/A N/A;#N/A N/A
CH0012268360 ISIN;KUDELSKI SA-BR;Technology;Computer Software;1146.51;1143937174.53; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;18.07.2016;#N/A N/A;#N/A N/A
CH0012271687 ISIN;HELVETIA HOLDING AG-REG;Financial;Multi-line Insurance;4957.65;4955164510.25; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;CHF;08.08.2016;#N/A N/A;#N/A N/A
CH0012410517 ISIN;BALOISE HOLDING AG - REG;Financial;Multi-line Insurance;6000.00;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0012829898 ISIN;EMMI AG-REG;Consumer, Non-cyclical;Food-Dairy Products;3351.76;3351762961.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;14.07.2016;#N/A N/A;#N/A N/A
CH0013841017 ISIN;LONZA GROUP AG-REG;Basic Materials;Chemicals-Specialty;9528.27;9528271207.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;21.07.2016;#N/A N/A;#N/A N/A
CH0014852781 ISIN;SWISS LIFE HOLDING AG-REG;Financial;Life/Health Insurance;7250.33;7250332442.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;18.07.2016;BBB+;#N/A N/A
CH0015536466 ISIN;GALENICA AG-REG;Consumer, Non-cyclical;Medical-Whsle Drug Dist;8547.50;8547500000.00; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;03.08.2016;#N/A N/A;#N/A N/A
CH0021783391 ISIN;PARGESA HOLDING SA-BR;Financial;Investment Companies;5857.40;5858383044.43; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;#N/A N/A;#N/A N/A
CH0023868554 ISIN;IMPLENIA AG-REG;Industrial;Building&Construct-Misc;1245.94;1243165600.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;CHF;08.08.2016;#N/A N/A;#N/A N/A
CH0024021302 ISIN;DEPFA ACS BANK;Financial;Commer Banks Non-US; #N/A Field Not Applicable ; #N/A N/A ;; -   ; -   ;200000000;EURO MTN;IE;CHF;08.08.2016;A-;#N/A N/A
CH0024638196 ISIN;SCHINDLER HOLDING-PART CERT;Industrial;Machinery-Electrical;20618.31;20621779372.51; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;#N/A N/A;#N/A N/A
CH0025238863 ISIN;KUEHNE & NAGEL INTL AG-REG;Industrial;Transport-Services;16692.00;16692000000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;25.07.2016;#N/A N/A;#N/A N/A
CH0030486770 ISIN;DAETWYLER HOLDING AG-BR;Industrial;Wire&Cable Products;2271.99;2275834666.52; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0030486770 ISIN;DAETWYLER HOLDING AG-BR;Industrial;Wire&Cable Products;2271.99;2275834666.52; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0038389992 ISIN;BB BIOTECH AG-REG;Financial;Closed-end Funds; #N/A N/A ; #N/A N/A ;; -   ; -   ;#N/A Field Not Applicable;Closed-End Fund;CH;USD;26.07.2016;#N/A N/A;#N/A N/A
CH0038863350 ISIN;NESTLE SA-REG;Consumer, Non-cyclical;Food-Misc/Diversified;248039.14;248039152000.00; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;AA;Aa2
CH0038863350 ISIN;NESTLE SA-REG;Consumer, Non-cyclical;Food-Misc/Diversified;248039.14;248039152000.00; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;AA;Aa2
CH0039821084 ISIN;METALL ZUG AG-REG;Diversified;Diversified Operations;1328.32;1328544598.88; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0043238366 ISIN;ARYZTA AG;Consumer, Non-cyclical;Food-Baking;3454.83;3454830394.42; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;#N/A N/A;#N/A N/A
CH0043238366 ISIN;ARYZTA AG;Consumer, Non-cyclical;Food-Baking;3454.83;3454830394.42; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;#N/A N/A;#N/A N/A
CH0045159024 ISIN;FINANCIERE RICHEMONT-DEP REC;Consumer, Cyclical;Retail-Jewelry;33849.09;33849089954.15; 1.00 ;;;#N/A Field Not Applicable;Receipt;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0102484968 ISIN;JULIUS BAER GROUP LTD;Financial;Diversified Finan Serv;9109.04;9109044533.60; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;03.08.2016;#N/A N/A;A3
CH0121032772 ISIN;ALLIED WORLD ASSURANCE CO;Financial;Reinsurance;3543.71;3543711037.62; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;BBB+;#N/A N/A
CH0126881561 ISIN;SWISS RE AG;Financial;Reinsurance;30498.14;30498145916.70; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A;#N/A N/A
CH0126881561 ISIN;SWISS RE AG;Financial;Reinsurance;30498.14;30498145916.70; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A;#N/A N/A
CH0239518779 ISIN;HIAG IMMOBILIEN AG;Financial;Real Estate Oper/Develop;791.20;791200000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;CHF;08.08.2016;#N/A N/A;#N/A N/A
CH0244100266 ISIN;UBS AG;Financial;Diversified Banking Inst; #N/A Field Not Applicable ; #N/A N/A ;; -   ; -   ;2500000000;EURO-DOLLAR;CH;USD;04.08.2016;A+;A1
CH0244767585 ISIN;UBS GROUP AG-REG;Financial;Diversified Banking Inst;51824.75;51824745487.28; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A-;#N/A N/A
