BBG ISIN;NAME;INDUSTRY_SECTOR;INDUSTRY_SUBGROUP;MKT_CAP_LAST_TRD;CUR_MKT_CAP; has_large_mkt_cap ; has_large_mkt_cap ; has_large_mkt_cap ;AMT_ISSUED;SECURITY_TYP;CNTRY_OF_DOMICILE;CRNCY;LAST_UPDATE_DT;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_MDY_ISSUER;VOLUME_AVG_6M;CNTRY_OF_RISK;ULT_PARENT_CNTRY_OF_RISK
BMG2519Y1084 ISIN;CREDICORP LTD;Financial;Commer Banks Non-US;12788.16;12788156645.43; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;PE;USD;08.08.2016;#N/A N/A;#N/A N/A;395426.2813;PE;PE
BMG2759B1072 ISIN;DIGITAL CHINA HOLDINGS LTD;Consumer, Cyclical;Distribution/Wholesale;900.05;900050484.47; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;27.07.2016;#N/A N/A;#N/A N/A;53.07086563;HK;HK
BMG4069C1486 ISIN;GREAT EAGLE HOLDINGS LTD;Financial;Real Estate Oper/Develop;3091.99;3091988125.95; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;08.08.2016;#N/A N/A;#N/A N/A;1665.842529;HK;HK
BMG423131256 ISIN;HAIER ELECTRONICS GROUP CO;Consumer, Cyclical;Appliances;4943.82;4943823759.36; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;08.08.2016;#N/A N/A;#N/A N/A;7528.960449;HK;CN
BMG524401079 ISIN;KERRY PROPERTIES LTD;Financial;Real Estate Oper/Develop;3564.57;3564574888.16; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;13.07.2016;NR;#N/A N/A;1477.826782;HK;HK
BMG5485F1692 ISIN;LI & FUNG LTD;Consumer, Cyclical;Distribution/Wholesale;4123.57;4123569179.94; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;29.07.2016;BBB+;Baa1;4405.779297;HK;HK
BMG5800U1071 ISIN;MAN WAH HOLDINGS LTD;Consumer, Cyclical;Retail-Home Furnishings;2735.63;2735629432.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;08.08.2016;#N/A N/A;#N/A N/A;39006.92188;HK;HK
BMG653181005 ISIN;NINE DRAGONS PAPER HOLDINGS;Basic Materials;Paper&Related Products;3858.96;3858964610.70; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;25.07.2016;NR;#N/A N/A;2827.17334;HK;VG
BMG667211046 ISIN;NORWEGIAN CRUISE LINE HOLDIN;Consumer, Cyclical;Cruise Lines;9752.21;9752214920.40; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;08.08.2016;NR;#N/A N/A;1991784;US;US
BMG668971101 ISIN;NWS HOLDINGS LTD;Diversified;Diversified Operations;5709.63;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;NR;#N/A N/A;1047.401611;HK;HK
BMG677491539 ISIN;ORIENT OVERSEAS INTL LTD;Industrial;Transport-Marine;2190.28;2190276539.50; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;28.07.2016;#N/A N/A;#N/A N/A;4546.960449;HK;VG
BMG6955J1036 ISIN;PAX GLOBAL TECHNOLOGY LTD;Technology;Computers-Integrated Sys;782.51;782511800.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;#N/A N/A;#N/A N/A;1134.992065;HK;HK
BMG8065B1037 ISIN;SHANGHAI INDUSTRIAL URBAN DE;Financial;Real Estate Oper/Develop;817.96;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;NR;#N/A N/A;#N/A N/A;CN;CN
BMG8165U1009 ISIN;SINOPEC KANTONS HOLDINGS;Energy;Oil-Field Services; #N/A N/A ; #N/A N/A ; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CN;CN
BMG8181C1001 ISIN;SKYWORTH DIGITAL HLDGS LTD;Consumer, Cyclical;Audio/Video Products;2356.77;2356773910.40; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;05.08.2016;#N/A N/A;#N/A N/A;902.2519531;HK;HK
BMG8565U1302 ISIN;SUMMIT ASCENT HOLDINGS LTD;Industrial;Bldg&Construct Prod-Misc;297.10;297099167.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;28.06.2016;#N/A N/A;#N/A N/A;#N/A N/A;HK;HK
BMG8770Z1068 ISIN;TEXWINCA HOLDINGS LTD;Consumer, Cyclical;Textile-Products;967.19;967187272.80; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;HK;USD;26.07.2016;#N/A N/A;#N/A N/A;650.9212646;HK;HK
CA0679011084 ISIN;BARRICK GOLD CORP;Basic Materials;Gold Mining;24958.91;24958909776.78; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;BBB-;#N/A N/A;20778948;CA;CA
CA0679011084 ISIN;BARRICK GOLD CORP;Basic Materials;Gold Mining;24958.91;24958909776.78; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;BBB-;#N/A N/A;20778948;CA;CA
CA09228F1036 ISIN;BLACKBERRY LTD;Technology;Computers;4081.93;4081928973.98; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;#N/A N/A;#N/A N/A;4564798;CA;CA
CA1249003098 ISIN;CCL INDUSTRIES INC - CL B;Industrial;Containers-Metal/Glass;6437.25;6437249485.04; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;#N/A N/A;#N/A N/A;444.8189087;CA;CA
CA1254911003 ISIN;CI FINANCIAL CORP;Financial;Invest Mgmnt/Advis Serv;5387.90;5387897470.61; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;A-;#N/A N/A;4291.677246;CA;CA
CA13645T1003 ISIN;CANADIAN PACIFIC RAILWAY LTD;Industrial;Transport-Rail;21308.09;21308094710.76; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;BBB+;#N/A N/A;1060131.25;CA;CA
CA13645T1003 ISIN;CANADIAN PACIFIC RAILWAY LTD;Industrial;Transport-Rail;21308.09;21308094710.76; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;BBB+;#N/A N/A;1060131.25;CA;CA
CA2506691088 ISIN;DETOUR GOLD CORP;Basic Materials;Gold Mining;4490.99;4490990372.08; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;#N/A N/A;#N/A N/A;72410.83594;CA;CA
CA2861812014 ISIN;ELEMENT FINANCIAL CORP;Financial;Finance-Leasing Compan;4057.58;4057584454.46; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;#N/A N/A;#N/A N/A;12906.85059;CA;CA
CA2861812014 ISIN;ELEMENT FINANCIAL CORP;Financial;Finance-Leasing Compan;4057.58;4057584454.46; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;#N/A N/A;#N/A N/A;12906.85059;CA;CA
CA3039011026 ISIN;FAIRFAX FINANCIAL HLDGS LTD;Financial;Property/Casualty Ins;13524.82;13524815949.87; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;BBB-;#N/A N/A;3000.543213;CA;CA
CA39945C1095 ISIN;CGI GROUP INC - CLASS A;Technology;Computers-Integrated Sys;14812.08;14812075644.25; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;#N/A N/A;#N/A N/A;187403.3906;CA;CA
CA4509131088 ISIN;IAMGOLD CORP;Basic Materials;Gold Mining;2306.00;2306002184.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;B;#N/A N/A;8205977.5;CA;CA
CA45245E1097 ISIN;IMAX CORP;Industrial;Industr Audio&Video Prod;2148.28;2148279159.51; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;NR;WR;794324.3125;US;US
CA53278L1076 ISIN;LINAMAR CORP;Consumer, Cyclical;Auto/Trk Prts&Equip-Orig;2600.05;2600052722.24; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;29.07.2016;#N/A N/A;#N/A N/A;899.9291382;CA;CA
CA53278L1076 ISIN;LINAMAR CORP;Consumer, Cyclical;Auto/Trk Prts&Equip-Orig;2600.05;2600052722.24; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;29.07.2016;#N/A N/A;#N/A N/A;899.9291382;CA;CA
CA5592224011 ISIN;MAGNA INTERNATIONAL INC;Consumer, Cyclical;Auto/Trk Prts&Equip-Orig;15668.19;15668195265.91; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;A-;Baa1;1741970;CA;CA
CA5592224011 ISIN;MAGNA INTERNATIONAL INC;Consumer, Cyclical;Auto/Trk Prts&Equip-Orig;15668.19;15668195265.91; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;A-;Baa1;1741970;CA;CA
CA5753851099 ISIN;MASONITE INTERNATIONAL CORP;Industrial;Bldg Prod-Doors&Windows;2184.26;2184262080.24; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;08.08.2016;BB;#N/A N/A;262061.5781;US;US
CA8849031056 ISIN;THOMSON REUTERS CORP;Communications;Multimedia;30983.78;30983779656.04; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;08.08.2016;BBB+;#N/A N/A;894158.375;US;CA
CA8849031056 ISIN;THOMSON REUTERS CORP;Communications;Multimedia;30983.78;30983779656.04; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;08.08.2016;BBB+;#N/A N/A;894158.375;US;CA
CA9004351081 ISIN;TURQUOISE HILL RESOURCES LTD;Basic Materials;Metal-Copper;6318.67;6318667432.66; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CA;USD;08.08.2016;#N/A N/A;#N/A N/A;2839362.5;CA;GB
CA91911K1021 ISIN;VALEANT PHARMACEUTICALS INTE;Consumer, Non-cyclical;Medical-Drugs;7659.74;7659737658.15; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;US;USD;08.08.2016;B;WR;28177936;US;US
CH0000587979 ISIN;SIKA AG-BR;Industrial;Bldg&Construct Prod-Misc;11736.71;11736707315.91; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;13.07.2016;A-;#N/A N/A;0.094488189;CH;CH
CH0000587979 ISIN;SIKA AG-BR;Industrial;Bldg&Construct Prod-Misc;11736.71;11736707315.91; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;13.07.2016;A-;#N/A N/A;0.094488189;CH;CH
CH0000816824 ISIN;OC OERLIKON CORP AG-REG;Industrial;Machinery-General Indust;4058.87;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CH;CH
CH0000816824 ISIN;OC OERLIKON CORP AG-REG;Industrial;Machinery-General Indust;4058.87;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CH;CH
CH0002168083 ISIN;PANALPINA WELTTRANSPORT -REG;Industrial;Transport-Services;3187.25;3187250000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;02.08.2016;#N/A N/A;#N/A N/A;6.858267784;CH;CH
CH0002361068 ISIN;STARRAG GROUP HOLDING AG;Industrial;Mach Tools&Rel Products;154.80;154795200.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;15.07.2016;#N/A N/A;#N/A N/A;12.67716503;CH;CH
CH0005795668 ISIN;SCHMOLZ+BICKENBACH AG-REG;Basic Materials;Steel-Producers; #N/A N/A ; #N/A N/A ; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;B+;#N/A N/A;#N/A N/A;CH;CH
CH0005795668 ISIN;SCHMOLZ+BICKENBACH AG-REG;Basic Materials;Steel-Producers; #N/A N/A ; #N/A N/A ; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;B+;#N/A N/A;#N/A N/A;CH;CH
CH0008742519 ISIN;SWISSCOM AG-REG;Communications;Telephone-Integrated;25117.73;25117726121.84; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;27.07.2016;A;A2;16.01574898;CH;CH
CH0008742519 ISIN;SWISSCOM AG-REG;Communications;Telephone-Integrated;25117.73;25117726121.84; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;27.07.2016;A;A2;16.01574898;CH;CH
CH0010532478 ISIN;ACTELION LTD-REG;Consumer, Non-cyclical;Medical-Drugs;17920.73;17920725310.10; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;#N/A N/A;#N/A N/A;387.8504028;CH;CH
CH0010570759 ISIN;CHOCOLADEFABRIKEN LINDT-REG;Consumer, Non-cyclical;Food-Confectionery;15437.80;15437803445.40; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CH;CH
CH0010570759 ISIN;CHOCOLADEFABRIKEN LINDT-REG;Consumer, Non-cyclical;Food-Confectionery;15437.80;15437803445.40; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CH;CH
CH0010570767 ISIN;CHOCOLADEFABRIKEN LINDT-PC;Consumer, Non-cyclical;Food-Confectionery;15437.80;15437803445.40; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;01.08.2016;#N/A N/A;#N/A N/A;5.779527664;CH;CH
CH0010645932 ISIN;GIVAUDAN-REG;Basic Materials;Chemicals-Specialty;18961.54;18961538194.44; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;#N/A N/A;#N/A N/A;26.11023712;CH;CH
CH0011037469 ISIN;SYNGENTA AG-REG;Basic Materials;Agricultural Chemicals;36295.26;36295263315.45; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;A+     *-;A2 *-;2689.37793;CH;CH
CH0011075394 ISIN;ZURICH INSURANCE GROUP AG;Financial;Multi-line Insurance;36198.13;36198129212.03; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;#N/A N/A;#N/A N/A;377.0157471;CH;CH
CH0011075394 ISIN;ZURICH INSURANCE GROUP AG;Financial;Multi-line Insurance;36198.13;36198129212.03; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;#N/A N/A;#N/A N/A;377.0157471;CH;CH
CH0012032048 ISIN;ROCHE HOLDING AG-GENUSSCHEIN;Consumer, Non-cyclical;Medical-Drugs;217356.80;217356799414.76; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;AA;A1;4084.70874;CH;CH
CH0012032113 ISIN;ROCHE HOLDING AG-BR;Consumer, Non-cyclical;Medical-Drugs;217356.80;217356799414.76; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;AA;A1;42.99212646;CH;CH
CH0012138605 ISIN;ADECCO GROUP AG-REG;Consumer, Non-cyclical;Human Resources;9084.97;9084970405.96; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;19.07.2016;BBB+;Baa1;339.1102295;CH;CH
CH0012214059 ISIN;LAFARGEHOLCIM LTD-REG;Industrial;Bldg Prod-Cement/Aggreg;28606.66;28606659485.80; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;BBB;Baa2;738.3779297;CH;CH
CH0012221716 ISIN;ABB LTD-REG;Industrial;Machinery-Electric Util;47212.79;47212789530.32; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;29.07.2016;A;A2;41369.77344;CH;CH
CH0012255144 ISIN;SWATCH GROUP AG/THE-REG;Consumer, Cyclical;Retail-Jewelry;14145.33;14145326456.69; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;28.07.2016;#N/A N/A;#N/A N/A;61.21259689;CH;CH
CH0012255144 ISIN;SWATCH GROUP AG/THE-REG;Consumer, Cyclical;Retail-Jewelry;14145.33;14145326456.69; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;28.07.2016;#N/A N/A;#N/A N/A;61.21259689;CH;CH
CH0012255151 ISIN;SWATCH GROUP AG/THE-BR;Consumer, Cyclical;Retail-Jewelry;14145.33;14145326456.69; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;#N/A N/A;#N/A N/A;61.19684982;CH;CH
CH0012268360 ISIN;KUDELSKI SA-BR;Technology;Computer Software;1143.64;1143641757.37; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;18.07.2016;#N/A N/A;#N/A N/A;44.88188934;CH;CH
CH0012271687 ISIN;HELVETIA HOLDING AG-REG;Financial;Multi-line Insurance;4970.08;4970082215.75; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;CHF;09.08.2016;#N/A N/A;#N/A N/A;13695.28;CH;CH
CH0012410517 ISIN;BALOISE HOLDING AG - REG;Financial;Multi-line Insurance;6000.00;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;16.67716599;CH;CH
CH0012829898 ISIN;EMMI AG-REG;Consumer, Non-cyclical;Food-Dairy Products;3351.76;3351762961.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;14.07.2016;#N/A N/A;#N/A N/A;#N/A N/A;CH;CH
CH0013841017 ISIN;LONZA GROUP AG-REG;Basic Materials;Chemicals-Specialty;9528.27;9528271207.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;21.07.2016;#N/A N/A;#N/A N/A;88.23622131;CH;CH
CH0014852781 ISIN;SWISS LIFE HOLDING AG-REG;Financial;Life/Health Insurance;7250.33;7250332442.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;18.07.2016;BBB+;#N/A N/A;22.96850395;CH;CH
CH0015536466 ISIN;GALENICA AG-REG;Consumer, Non-cyclical;Medical-Whsle Drug Dist;8547.50;8547500000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;03.08.2016;#N/A N/A;#N/A N/A;0.05511811;CH;CH
CH0021783391 ISIN;PARGESA HOLDING SA-BR;Financial;Investment Companies;5842.76;5842757200.55; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;#N/A N/A;#N/A N/A;1321.291382;CH;NL
CH0023868554 ISIN;IMPLENIA AG-REG;Industrial;Building&Construct-Misc;1240.39;1240394800.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;CHF;09.08.2016;#N/A N/A;#N/A N/A;37603.04;CH;CH
CH0024021302 ISIN;DEPFA ACS BANK;Financial;Commer Banks Non-US; #N/A Field Not Applicable ; #N/A N/A ; 1.00 ; -   ; 1.00 ;200000000;EURO MTN;IE;CHF;09.08.2016;A-;#N/A N/A;#N/A N/A;IE;DE
CH0024638196 ISIN;SCHINDLER HOLDING-PART CERT;Industrial;Machinery-Electrical;20828.43;20828427388.70; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;#N/A N/A;#N/A N/A;115.7559052;CH;CH
CH0025238863 ISIN;KUEHNE & NAGEL INTL AG-REG;Industrial;Transport-Services;16692.00;16692000000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;25.07.2016;#N/A N/A;#N/A N/A;32.25196838;CH;CH
CH0030486770 ISIN;DAETWYLER HOLDING AG-BR;Industrial;Wire&Cable Products;2278.40;2278401269.56; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CH;CH
CH0030486770 ISIN;DAETWYLER HOLDING AG-BR;Industrial;Wire&Cable Products;2278.40;2278401269.56; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;CH;CH
CH0038389992 ISIN;BB BIOTECH AG-REG;Financial;Closed-end Funds; #N/A N/A ; #N/A N/A ; -   ; -   ; -   ;#N/A Field Not Applicable;Closed-End Fund;CH;USD;26.07.2016;#N/A N/A;#N/A N/A;15.62992096;CH;CH
