SEARCH_ISIN;BBG_ISIN;NAME;INDUSTRY_SECTOR;INDUSTRY_SUBGROUP;MKT_CAP_LAST_TRD;CUR_MKT_CAP;has_large_mkt_cap_last_traded;has_large_mkt_cap_current;has_large_mkt_cap_both;AMT_ISSUED;SECURITY_TYP;CNTRY_OF_DOMICILE;CRNCY;LAST_UPDATE_DT;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_MDY_ISSUER
AU000000BSL0 ISIN;AU000000BSL0 Equity ISIN;BLUESCOPE STEEL LTD;Basic Materials;Steel-Producers;3342.375801;3342375855;0;1;1;#N/A Field Not Applicable;Common Stock;AU;USD;19.07.2016;BB;#N/A N/A
AU000000KAR6 ISIN;AU000000KAR6 Equity ISIN;KAROON GAS AUSTRALIA LTD;Energy;Oil Comp-Explor&Prodtn;237.0615056;237061512.1;0;1;1;#N/A Field Not Applicable;Common Stock;AU;USD;05.08.2016;#N/A N/A;#N/A N/A
AU000000MGX7 ISIN;AU000000MGX7 Equity ISIN;MOUNT GIBSON IRON LTD;Basic Materials;Metal-Iron;222.7298601;222729864.2;0;1;1;#N/A Field Not Applicable;Common Stock;AU;USD;04.08.2016;#N/A N/A;#N/A N/A
AU000000NCM7 ISIN;AU000000NCM7 Equity ISIN;NEWCREST MINING LTD;Basic Materials;Gold Mining;14632.69455;14632694436;0;1;1;#N/A Field Not Applicable;Common Stock;AU;USD;05.08.2016;BBB-;#N/A N/A
AU000000RIO1 ISIN;AU000000RIO1 Equity ISIN;RIO TINTO LTD;Basic Materials;Metal-Diversified;61675.61475;61676586933;1;0;1;#N/A Field Not Applicable;Common Stock;GB;USD;21.07.2016;A-;Baa1
BE0003793107 ISIN;BE0003793107 Equity ISIN;ANHEUSER-BUSCH INBEV SA/NV;Consumer, Non-cyclical;Brewery;198119.3551;1.98119E+11;1;0;1;#N/A Field Not Applicable;Common Stock;BE;USD;05.08.2016;A-;#N/A N/A
BMG053841059 ISIN;BMG053841059 Equity ISIN;ASPEN INSURANCE HOLDINGS LTD;Financial;Reinsurance;2747.783867;2747783903;0;1;1;#N/A Field Not Applicable;Common Stock;BM;USD;05.08.2016;BBB+;#N/A N/A
BMG1368B1028 ISIN;BMG1368B1028 Equity ISIN;BRILLIANCE CHINA AUTOMOTIVE;Consumer, Cyclical;Auto-Cars/Light Trucks;5793.089676;5793089796;0;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;12.07.2016;#N/A N/A;#N/A N/A
BMG2109G1033 ISIN;BMG2109G1033 Equity ISIN;CHINA GAS HOLDINGS LTD;Utilities;Gas-Distribution;7611.095835;7611096070;0;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;29.07.2016;#N/A N/A;#N/A N/A
BMG2519Y1084 ISIN;BMG2519Y1084 Equity ISIN;CREDICORP LTD;Financial;Commer Banks Non-US;12750.6688;12750668754;0;1;1;#N/A Field Not Applicable;Common Stock;PE;USD;05.08.2016;#N/A N/A;#N/A N/A
BMG8770Z1068 ISIN;BMG8770Z1068 Equity ISIN;TEXWINCA HOLDINGS LTD;Consumer, Cyclical;Textile-Products;967.1872563;967187272.8;0;1;1;#N/A Field Not Applicable;Common Stock;HK;USD;26.07.2016;#N/A N/A;#N/A N/A
CA0679011084 ISIN;CA0679011084 Equity ISIN;BARRICK GOLD CORP;Basic Materials;Gold Mining;24749.17077;24749171039;0;1;1;#N/A Field Not Applicable;Common Stock;CA;USD;05.08.2016;BBB-;#N/A N/A
CH0010532478 ISIN;CH0010532478 Equity ISIN;ACTELION LTD-REG;Consumer, Non-cyclical;Medical-Drugs;18265.56188;18265561877;0;1;1;#N/A Field Not Applicable;Common Stock;CH;USD;03.08.2016;#N/A N/A;#N/A N/A
CH0011037469 ISIN;CH0011037469 Equity ISIN;SYNGENTA AG-REG;Basic Materials;Agricultural Chemicals;36188.79788;36188798444;1;0;1;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A+     *-;A2 *-
CH0011075394 ISIN;CH0011075394 Equity ISIN;ZURICH INSURANCE GROUP AG;Financial;Multi-line Insurance;36198.1294;36198129212;1;0;1;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;#N/A N/A;#N/A N/A
CH0012032048 ISIN;CH0012032048 Equity ISIN;ROCHE HOLDING AG-GENUSSCHEIN;Consumer, Non-cyclical;Medical-Drugs;219221.2129;2.19115E+11;1;0;1;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;AA;A1
CH0012221716 ISIN;CH0012221716 Equity ISIN;ABB LTD-REG;Industrial;Machinery-Electric Util;47212.78767;47212789530;1;1;1;#N/A Field Not Applicable;Common Stock;CH;USD;29.07.2016;A;A2
CH0012255144 ISIN;CH0012255144 Equity ISIN;SWATCH GROUP AG/THE-REG;Consumer, Cyclical;Retail-Jewelry;14196.61988;14192722333;0;1;1;#N/A Field Not Applicable;Common Stock;CH;USD;28.07.2016;#N/A N/A;#N/A N/A
CH0015536466 ISIN;CH0015536466 Equity ISIN;GALENICA AG-REG;Consumer, Non-cyclical;Medical-Whsle Drug Dist;8547.5;8547500000;0;1;1;#N/A Field Not Applicable;Common Stock;CH;USD;03.08.2016;#N/A N/A;#N/A N/A
CH0038863350 ISIN;CH0038863350 Equity ISIN;NESTLE SA-REG;Consumer, Non-cyclical;Food-Misc/Diversified;248039.1425;2.48039E+11;1;0;1;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;AA;Aa2
CH0043238366 ISIN;CH0043238366 Equity ISIN;ARYZTA AG;Consumer, Non-cyclical;Food-Baking;3454.830492;3454830394;0;1;1;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;#N/A N/A;#N/A N/A
CH0244767585 ISIN;CH0244767585 Equity ISIN;UBS GROUP AG-REG;Financial;Diversified Banking Inst;51824.74563;51824745487;1;0;1;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A-;#N/A N/A
CNE1000001Q4 ISIN;CNE1000001Q4 Equity ISIN;CHINA CITIC BANK CORP LTD-H;Financial;Commer Banks Non-US;40254.85192;40261754996;1;0;1;#N/A Field Not Applicable;Common Stock;CN;USD;25.07.2016;#N/A N/A;#N/A N/A
CNE1000001S0 ISIN;CNE1000001S0 Equity ISIN;AIR CHINA LTD-H;Consumer, Cyclical;Airlines;13717.39682;13719694492;0;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;26.07.2016;#N/A N/A;#N/A N/A
CNE1000001T8 ISIN;CNE1000001T8 Equity ISIN;ALUMINUM CORP OF CHINA LTD-H;Basic Materials;Metal-Aluminum;7897.719012;7899174261;0;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;13.07.2016;#N/A N/A;#N/A N/A
CNE1000001W2 ISIN;CNE1000001W2 Equity ISIN;ANHUI CONCH CEMENT CO LTD-H;Industrial;Bldg Prod-Cement/Aggreg;13866.00849;13868300379;0;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A-;A3
CNE1000001Z5 ISIN;CNE1000001Z5 Equity ISIN;BANK OF CHINA LTD-H;Financial;Commer Banks Non-US;141326.9716;1.41351E+11;1;0;1;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A;#N/A N/A
CNE100000205 ISIN;CNE100000205 Equity ISIN;BANK OF COMMUNICATIONS CO-H;Financial;Commer Banks Non-US;57839.11564;57846568559;1;0;1;#N/A Field Not Applicable;Common Stock;CN;USD;27.06.2016;A-;#N/A N/A
CNE100000296 ISIN;CNE100000296 Equity ISIN;BYD CO LTD-H;Consumer, Cyclical;Auto-Cars/Light Trucks;21951.05636;21954665153;0;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;#N/A N/A;#N/A N/A
CNE1000002D0 ISIN;CNE1000002D0 Equity ISIN;CHINA BLUECHEMICAL LTD - H;Basic Materials;Agricultural Chemicals;956.8445955;956844595.5;0;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;08.07.2016;#N/A N/A;#N/A N/A
CNE1000002H1 ISIN;CNE1000002H1 Equity ISIN;CHINA CONSTRUCTION BANK-H;Financial;Commer Banks Non-US;175922.2607;1.75924E+11;1;0;1;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A;#N/A N/A
CNE1000002L3 ISIN;CNE1000002L3 Equity ISIN;CHINA LIFE INSURANCE CO-H;Financial;Life/Health Insurance;82339.55707;82354176844;1;0;1;#N/A Field Not Applicable;Common Stock;CN;USD;28.07.2016;AA-;#N/A N/A
CNE1000002M1 ISIN;CNE1000002M1 Equity ISIN;CHINA MERCHANTS BANK-H;Financial;Commer Banks Non-US;63388.66246;63400601656;1;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;19.07.2016;BBB+;#N/A N/A
CNE1000002R0 ISIN;CNE1000002R0 Equity ISIN;CHINA SHENHUA ENERGY CO-H;Energy;Coal;44435.46953;44443999819;1;0;1;#N/A Field Not Applicable;Common Stock;CN;USD;01.08.2016;AA-;#N/A N/A
